#校對至U+2E34B

2CEB0	𬺰	jn
2CEB1	𬺱	jh
2CEB2	𬺲	hnm
2CEB3	𬺳	msh
2CEB4	𬺴	smm
2CEB5	𬺵	mqs
2CEB6	𬺶	mlvn
2CEB7	𬺷	msh
2CEB8	𬺸	fjs
2CEB9	𬺹	smm
2CEBA	𬺺	ljs
2CEBB	𬺻	mshh
2CEBC	𬺼	mnpd
2CEBD	𬺽	pkp
2CEBE	𬺾	ylu
2CEBF	𬺿	jli
2CEC0	𬻀	tt
2CEC1	𬻁	myg
2CEC2	𬻂	jtj
2CEC3	𬻃	mhnl
2CEC4	𬻄	mnmnn
2CEC5	𬻅	mnyc
2CEC6	𬻆	nmsm
2CEC7	𬻇	mllw
2CEC8	𬻈	nmnlm
2CEC9	𬻉	mwh
2CECA	𬻊	mkmy
2CECB	𬻋	tti
2CECC	𬻌	jwlo
2CECD	𬻍	jwlh
2CECE	𬻎	pksr
2CECF	𬻏	nlym
2CED0	𬻐	mamn
2CED1	𬻑	ninym
2CED2	𬻒	jvs
2CED3	𬻓	ipmy
2CED4	𬻔	mpsi
2CED5	𬻕	mcwm
2CED6	𬻖	mnnau
2CED7	𬻗	mnnsd
2CED8	𬻘	nmnym
2CED9	𬻙	qpmy
2CEDA	𬻚	romn
2CEDB	𬻛	mfgi
2CEDC	𬻜	mmtm
2CEDD	𬻝	otm
2CEDE	𬻞	bmmm
2CEDF	𬻟	mtji
2CEE0	𬻠	mrrk
2CEE1	𬻡	qtmy
2CEE2	𬻢	dtyj
2CEE3	𬻣	mnjch
2CEE4	𬻤	vmmn
2CEE5	𬻥	qmnlm
2CEE6	𬻦	mtjnk
2CEE7	𬻧	jbbm
2CEE8	𬻨	kimy
2CEE9	𬻩	dvmy
2CEEA	𬻪	mmhqi
2CEEB	𬻫	jlbm
2CEEC	𬻬	fbram
2CEED	𬻭	hiyit
2CEEE	𬻮	dtnin
2CEEF	𬻯	hihog
2CEF0	𬻰	mymwj
2CEF1	𬻱	bwuom
2CEF2	𬻲	vlshi
2CEF2	𬻲	vlsk
2CEF3	𬻳	lmn
2CEF4	𬻴	aloii
2CEF4	𬻴	aloml
2CEF5	𬻵	nisc
2CEF6	𬻶	eml
2CEF7	𬻷	rssio
2CEF8	𬻸	lamh
2CEF9	𬻹	olwkp
2CEFA	𬻺	inn
2CEFB	𬻻	vyg
2CEFC	𬻼	rirv
2CEFD	𬻽	ygnyk
2CEFE	𬻾	ygyhr
2CEFF	𬻿	io
2CF00	𬼀	hi
2CF01	𬼁	bs
2CF02	𬼂	ho
2CF03	𬼃	hkn
2CF04	𬼄	bns
2CF05	𬼅	nsnhs
2CF06	𬼆	kk
2CF07	𬼇	hpo
2CF08	𬼈	hju
2CF09	𬼉	hjyv
2CF0A	𬼊	ohny
2CF0B	𬼋	sqsk
2CF0C	𬼌	hjle
2CF0D	𬼍	hqpq
2CF0E	𬼎	nshwe
2CF0E	𬼎	nshwi
2CF0F	𬼏	hdniy
2CF10	𬼐	ohqj
2CF11	𬼑	khgi
2CF12	𬼒	hphqo
2CF13	𬼓	hmsmv
2CF14	𬼔	hdhyr
2CF15	𬼕	lslc
2CF16	𬼖	sm
2CF17	𬼗	hvu
2CF18	𬼘	up
2CF19	𬼙	ppp
2CF1A	𬼚	upp
2CF1B	𬼛	ion
2CF1C	𬼜	npd
2CF1D	𬼝	gin
2CF1E	𬼞	jlp
2CF1F	𬼟	orn
2CF20	𬼠	onon
2CF21	𬼡	hdu
2CF22	𬼢	nrvp
2CF23	𬼣	knyk
2CF24	𬼤	vrn
2CF25	𬼥	dln
2CF26	𬼦	dgn
2CF27	𬼧	hhu
2CF28	𬼨	nrpd
2CF29	𬼩	ttpd
2CF2A	𬼪	iqon
2CF2B	𬼫	uiuii
2CF2C	𬼬	nrrr
2CF2D	𬼭	ynpd
2CF2E	𬼮	wtpd
2CF2F	𬼯	hdn
2CF30	𬼰	iipd 
2CF30	𬼰	impd
2CF31	𬼱	ebn
2CF32	𬼲	aoon
2CF33	𬼳	icn
2CF33	𬼳	idn
2CF34	𬼴	vhtcn
2CF35	𬼵	kvrr
2CF36	𬼶	nnm
