U+30000	𰀀	mv
U+30001	𰀁	jj
U+30002	𰀂	sm
U+30003	𰀃	mb
U+30004	𰀄	sm
U+30005	𰀅	kim
U+30005	𰀅	kkm
U+30006	𰀆	mt
U+30007	𰀇	msmvs
U+30008	𰀈	qni
U+30009	𰀉	jl
U+3000A	𰀊	lbms
U+3000B	𰀋	plll
U+3000C	𰀌	mrlb
U+3000D	𰀍	mfmvh
U+3000E	𰀎	ymymm
U+3000F	𰀏	ymav
U+30010	𰀐	mhui
U+30011	𰀑	hidh
U+30011	𰀑	midh
U+30012	𰀒	mbmob
U+30013	𰀓	mwgn
U+30014	𰀔	mahn
U+30015	𰀕	mbmob
U+30016	𰀖	mwim
U+30017	𰀗	ymymm
U+30018	𰀘	mfjvo
U+30019	𰀙	mkhsb
U+30019	𰀙	mkisb
U+3001A	𰀚	mfmmk
U+3001B	𰀛	maan
U+3001C	𰀜	mmph
U+3001D	𰀝	bmbmm
U+3001E	𰀞	mwng
U+3001F	𰀟	mfdlm
U+30020	𰀠	lo
U+30021	𰀡	lle
U+30022	𰀢	lloi
U+30023	𰀣	vlqo
U+30024	𰀤	almg
U+30025	𰀥	rrnin
U+30026	𰀦	rrrlr
U+30027	𰀧	vlbgr
U+30027	𰀧	vlbqr
U+30028	𰀨	wfll
U+30029	𰀩	ygyg
U+3002A	𰀪	hh
U+3002B	𰀫	hn
U+3002C	𰀬	nsvo
U+3002D	𰀭	hpks
U+3002E	𰀮	hrdb
U+3002F	𰀯	nseiv
U+30030	𰀰	nnn
U+30031	𰀱	vvvv
U+30032	𰀲	mfn
U+30033	𰀳	niku
U+30034	𰀴	hun
U+30035	𰀵	vhu
U+30036	𰀶	fbn
U+30037	𰀷	unu
U+30038	𰀸	pdpd
U+30039	𰀹	hdn
U+3003A	𰀺	ieu
U+3003B	𰀻	sru
U+3003C	𰀼	nir
U+3003D	𰀽	mwn
U+3003E	𰀾	vmcw
U+3003F	𰀿	oin
U+30040	𰁀	ntt
U+30040	𰁀	nyjj
U+30041	𰁁	gon
U+30042	𰁂	bsn
U+30043	𰁃	ocn
U+30044	𰁄	bcn
U+30045	𰁅	rdn
U+30046	𰁆	orn
U+30047	𰁇	knije
U+30048	𰁈	islk
U+30049	𰁉	amon
U+3004A	𰁊	bnn
U+3004B	𰁋	nrrr
U+3004C	𰁌	nytt
U+3004D	𰁍	wnn
U+3004E	𰁎	csn
U+3004F	𰁏	nyjj
U+30050	𰁐	vyaw
U+30051	𰁑	bdhgu
U+30052	𰁒	nnnn
U+30053	𰁓	qinsd
U+30054	𰁔	mmbsd
U+30054	𰁔	mmnsd
U+30055	𰁕	pmm
U+30056	𰁖	mmol
U+30057	𰁗	mmso
U+30058	𰁘	mgom
U+30059	𰁙	mmlb
U+3005A	𰁚	mmoi
U+3005B	𰁛	mmie
