323B0	𲎰	md
323B1	𲎱	gp
323B2	𲎲	mb
323B3	𲎳	mmmm
323B4	𲎴	iumy
323B5	𲎵	krma
323B6	𲎶	kghfd
323B7	𲎷	hifmu
323B7	𲎷	mifmu
323B8	𲎸	kgwks
323B9	𲎹	ymntl
323BA	𲎺	hkl
323BB	𲎻	llgi
323BC	𲎼	crl
323BD	𲎽	lbb
323BE	𲎾	llymo
323BF	𲎿	kpd
323C0	𲏀	hli
323C1	𲏁	nsyy
323C2	𲏂	mlin
323C3	𲏃	hjoo
323C4	𲏄	fkno
323C5	𲏅	nwlqu
323C6	𲏆	vks
323C7	𲏇	nii
323C8	𲏈	fn
323C9	𲏉	non
323CA	𲏊	nvg
323CB	𲏋	qon
323CC	𲏌	nmvi
323CD	𲏍	fhn
323CE	𲏎	olln
323CF	𲏏	onn
323D0	𲏐	phn
323D1	𲏑	nndu
323D2	𲏒	nnvi
323D3	𲏓	nmfj
323D4	𲏔	jrn
323D5	𲏕	jdn
323D6	𲏖	krn
323D7	𲏗	rpn
323D8	𲏘	vrls
323D9	𲏙	prn
323DA	𲏚	opn
323DB	𲏛	nwyi
323DC	𲏜	ninin
323DD	𲏝	dyn
323DE	𲏞	ypn
323DF	𲏟	hdn
323E0	𲏠	nqn
323E1	𲏡	avn
323E2	𲏢	ien
323E3	𲏣	jdn
323E4	𲏤	omdn
323E5	𲏥	hedn
323E6	𲏦	sun
323E7	𲏧	hhn
323E8	𲏨	hmn
323E9	𲏩	srn
323EA	𲏪	nrn
323EB	𲏫	yin
323EC	𲏬	tkrn
323ED	𲏭	fhbun
323EE	𲏮	arn
323EF	𲏯	non
323F0	𲏰	tajn
323F1	𲏱	bbbn
323F2	𲏲	odn
323F3	𲏳	bdumy
323F4	𲏴	yrbn
323F5	𲏵	tvin
323F5	𲏵	yyvin
323F6	𲏶	wvfn
323F7	𲏷	wbpd
323F8	𲏸	oddg
323F9	𲏹	otfn
323FA	𲏺	ygn
323FB	𲏻	nomrn
323FB	𲏻	ntn
323FC	𲏼	arfn
323FD	𲏽	bdusm
323FE	𲏾	yun
323FF	𲏿	bduhl
32400	𲐀	bdujn
32401	𲐁	qdnn
32402	𲐂	mmu
32403	𲐃	mmma
32404	𲐄	mmiu
32405	𲐅	phmmi
32406	𲐆	mmly
32407	𲐇	mcnf
32408	𲐈	mmii
32409	𲐉	mmtnh
3240A	𲐊	mmbhf
3240A	𲐊	mmikf
3240B	𲐋	mmebg
3240C	𲐌	ylle
3240D	𲐍	yord
3240E	𲐎	ywld
3240F	𲐏	ykoin
32410	𲐐	yjrr
32411	𲐑	yverb
32412	𲐒	ynjru
32412	𲐒	yujru
32413	𲐓	yhok
32414	𲐔	yvwlp
32415	𲐕	oml
32416	𲐖	nso
32417	𲐗	omjs
32418	𲐘	opsh
32419	𲐙	od
3241A	𲐚	oio
3241B	𲐛	olbs
3241C	𲐜	olno
3241D	𲐝	oumn
3241E	𲐞	okhu
3241F	𲐟	ony
32420	𲐠	opmk
32421	𲐡	omcw
32422	𲐢	oioo
32422	𲐢	ooio
32423	𲐣	suoin
32424	𲐤	obcr
32425	𲐥	oamj
32426	𲐦	oshqm
32427	𲐧	onsm
32428	𲐨	oyiu
32428	𲐨	oyiv
32429	𲐩	onsp
3242A	𲐪	onlb
3242B	𲐫	oshp
3242B	𲐫	osip
3242B	𲐫	oskp
3242C	𲐬	mooo
3242D	𲐭	oifg
3242D	𲐭	omfg
3242E	𲐮	ssoip
3242F	𲐯	oumr
32430	𲐰	ohdl
32431	𲐱	ohju
32432	𲐲	oilo
32433	𲐳	owyd
32434	𲐴	okmb
32435	𲐵	omre
32436	𲐶	okwl
32437	𲐷	oayt
32438	𲐸	owb
32439	𲐹	oumw
3243A	𲐺	oort
3243B	𲐻	onbk
3243C	𲐼	onsm
3243D	𲐽	obmi
3243E	𲐾	otgk
3243F	𲐿	oite
32440	𲑀	okrd
32441	𲑁	oikm
32442	𲑂	ohsv
32442	𲑂	oisv
32442	𲑂	omsv
32443	𲑃	olhm
32444	𲑄	ommym
32445	𲑅	yooj
32446	𲑆	otkf
32447	𲑇	otcg
32448	𲑈	oseg
32449	𲑉	jdomk
3244A	𲑊	oybb
3244B	𲑋	ofbb
3244C	𲑌	oyhr
3244D	𲑍	oyrl
3244E	𲑎	omrq
3244F	𲑏	oooo
32450	𲑐	onmn
32451	𲑑	onlm
32452	𲑒	olgm
32453	𲑓	ombw
32454	𲑔	otms
32455	𲑕	owlj
32456	𲑖	ovbcr
32457	𲑗	oyco
32457	𲑗	oyto
32458	𲑘	orrf
32459	𲑙	oywv
3245A	𲑚	orkn
3245B	𲑛	oslv
3245C	𲑜	otjg
3245D	𲑝	otas
3245E	𲑞	obci
3245F	𲑟	ojae
32460	𲑠	oyoe
32461	𲑡	oiwg
32462	𲑢	orttt
32462	𲑢	oryjj
32463	𲑣	jmolk
32463	𲑣	jvolk
32464	𲑤	otlc
32465	𲑥	ochb
32466	𲑦	omww
32467	𲑧	oumk
32468	𲑨	ohia
32468	𲑨	ohma
32469	𲑩	qcohb
32469	𲑩	qcoib
3246A	𲑪	ombo
3246B	𲑫	oriop
3246C	𲑬	fuo
3246D	𲑭	ful
3246E	𲑮	lmuoh
3246F	𲑯	furks
32470	𲑰	jugr
32471	𲑱	fubsh
32472	𲑲	fuaa
32473	𲑳	futmc
32474	𲑴	fucmo
32474	𲑴	futpo
32475	𲑵	funld
32476	𲑶	gknau
32476	𲑶	gkshu
32476	𲑶	qknau
32477	𲑷	fucwa
32478	𲑸	huisy
32479	𲑹	huggu
3247A	𲑺	hro
3247A	𲑺	mro
3247B	𲑻	olpj
3247C	𲑼	hfomg
3247D	𲑽	oipg
3247E	𲑾	cnn
3247F	𲑿	krc
32480	𲒀	tcoii
32480	𲒀	tcoml
32481	𲒁	fvyc
32482	𲒂	dgbmc
32483	𲒃	tloiv
32483	𲒃	tlosv
32484	𲒄	booo
32485	𲒅	obmr
32486	𲒆	blga
32487	𲒇	bc
32488	𲒈	bje
32489	𲒉	byo
3248A	𲒊	bcnau
3248A	𲒊	bcshu
3248B	𲒋	imni
3248C	𲒌	imtm
3248D	𲒍	imhjd
3248E	𲒎	imqke
3248E	𲒎	imqme
3248F	𲒏	immlk
32490	𲒐	imryo
32491	𲒑	imoir
32492	𲒒	imomr
32493	𲒓	imtkn
32494	𲒔	imtgk
32495	𲒕	imvnn
32496	𲒖	imoip
32496	𲒖	imolp
32497	𲒗	immwf
32498	𲒘	imwvf
32499	𲒙	imogs
3249A	𲒚	imyrb
3249B	𲒛	jmmnn
3249B	𲒛	jymnn
3249C	𲒜	imoir
3249C	𲒜	imolr
3249D	𲒝	imyfn
3249E	𲒞	hnl
3249F	𲒟	lnfdh
324A0	𲒠	auuu
324A1	𲒡	ukhqi
324A2	𲒢	uusmg
324A3	𲒣	uuwlg
324A4	𲒤	ymln
324A5	𲒥	wlln
324A6	𲒦	hbln
324A7	𲒧	fdsh
324A8	𲒨	dlsh
324A9	𲒩	shqhl
324AA	𲒪	qlsh
324AB	𲒫	unln
324AC	𲒬	yuln
324AD	𲒭	hlln
324AE	𲒮	pamh
324AF	𲒯	rrln
324B0	𲒰	hncsh
324B1	𲒱	brsh
324B2	𲒲	jsln
324B3	𲒳	ynln
324B4	𲒴	eeln
324B5	𲒵	bnmym
324B6	𲒶	mwln
324B7	𲒷	hutbn
324B8	𲒸	ybcsh
324B9	𲒹	eltn
324BA	𲒺	mmbun
324BB	𲒻	tpln
324BC	𲒼	hbln
324BD	𲒽	cfbn
324BE	𲒾	ohsh
324BF	𲒿	naln
324C0	𲓀	tfln
324C1	𲓁	bnqmv
324C2	𲓂	ypks
324C3	𲓃	orks
324C4	𲓄	moks
324C5	𲓅	aaks
324C6	𲓆	mvks
324C7	𲓇	maks
324C8	𲓈	bsopd
324C9	𲓉	dkks
324CA	𲓊	ksoyk
324CB	𲓋	heks
324CB	𲓋	hnks
324CC	𲓌	nlks
324CC	𲓌	nnks
324CD	𲓍	gibms
324CD	𲓍	gkbms
324CE	𲓎	tsmvi
324CF	𲓏	hcks
324D0	𲓐	htks
324D1	𲓑	phjr
324D2	𲓒	phmym
324D3	𲓓	piyib
324D3	𲓓	pmyib
324D4	𲓔	eaphh
324D5	𲓕	phoma
324D6	𲓖	phbbe
324D7	𲓗	phtja
324D8	𲓘	jdpru
324D8	𲓘	jdpsu
324D9	𲓙	oapru
324D9	𲓙	oapsu
324DA	𲓚	hsc
324DA	𲓚	hshu
324DB	𲓛	sgomb
324DC	𲓜	jb
324DD	𲓝	jc
324DE	𲓞	kj
324DF	𲓟	ttp
324E0	𲓠	jyc
324E1	𲓡	hjcsh
324E2	𲓢	cshj
324E3	𲓣	yyhj
324E4	𲓤	jgg
324E5	𲓥	isj
324E6	𲓦	jboii
324E6	𲓦	jboml
324E7	𲓧	tttt
324E8	𲓨	ybj
324E9	𲓩	gwgj
324EA	𲓪	ggj
324EB	𲓫	jbfdq
324EC	𲓬	yav
324ED	𲓭	jjy
324EE	𲓮	yrjp
324EF	𲓯	jbslo
324EF	𲓯	jbsly
324F0	𲓰	gyhui
324F1	𲓱	mnsl
324F2	𲓲	mksl
324F3	𲓳	obsl
324F4	𲓴	jrsl
324F5	𲓵	hasl
324F6	𲓶	krsl
324F7	𲓷	hmsl
324F8	𲓸	egsl
324F9	𲓹	oesl
324FA	𲓺	mhbu
324FB	𲓻	mtv
324FC	𲓼	moyg
324FD	𲓽	mndd
324FE	𲓾	jkmym
324FF	𲓿	irhad
324FF	𲓿	irmad
32500	𲔀	moof
32501	𲔁	mkbb
32502	𲔂	iiim
32503	𲔃	iqaa
32504	𲔄	giytu
32505	𲔅	hte
32506	𲔆	ipe
32507	𲔇	eeem
32508	𲔈	lche
32508	𲔈	lcme
32509	𲔉	beng
3250A	𲔊	nmhe
3250A	𲔊	nmme
3250B	𲔋	hejka
3250B	𲔋	mejka
3250C	𲔌	eejjh
3250D	𲔍	rp
3250E	𲔎	rg
3250F	𲔏	rf
32510	𲔐	rmo
32511	𲔑	mmrp
